,,,,Independent Variable Independent Variable camera,Independent Variable Independent Variable comments_video,Independent Variable Independent Variable family,Independent Variable Independent Variable id,Independent Variable Independent Variable Missed samples %,Independent Variable Independent Variable Recording after,Independent Variable Independent Variable start (s),Independent Variable Independent Variable Subject not found %,Independent Variable Independent Variable Video file,Independent Variable Independent Variable week,Distance moved center-point Total cm,Velocity center-point Mean cm/s,Movement Moving / center-point Cumulative Duration s,Movement Not Moving / center-point Cumulative Duration s,In zone cue / center-point Cumulative Duration s,In zone cue / center-point Cumulative Duration %,In zone blank / center-point Cumulative Duration s,In zone blank / center-point Cumulative Duration %,Mobility Body fill Mean %,Mobility state Highly mobile Cumulative Duration s,Mobility state Mobile Cumulative Duration s,Mobility state Immobile Cumulative Duration s
5 minutes,Trial    22,Arena 6,In blank,B,nc,BS8,S8_05,0.0 %,+ 00:02:00.077,120,10.6 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\10-12;69RDPHH\S1690002.MP4,2,"12,5353","0,139657","16,7196","75,5981",0,0,"93,5977","15,5958","9,57529","0,719982","39,919","51,6787"
5 minutes,Trial    23,Arena 1,In cue,A,spider on the walls sometimes,BS11,BS11_06,0.0 %,+ 00:03:35.035,215,44.9 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\10-12;171RDPHH\S1710003.MP4,2,"4,55899","0,023637","5,03987","189,035","194,795","32,458",0,0,"2,73988","0,079998","6,71983","187,275"
5 minutes,Trial    23,Arena 1,In blank,A,spider on the walls sometimes,BS11,BS11_06,0.0 %,+ 00:03:35.035,215,44.9 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\10-12;171RDPHH\S1710003.MP4,2,"2,15224","0,0735074","1,83995","27,4393",0,0,"29,2793","4,8787","8,41961","0,079998","25,1194","4,0799"
5 minutes,Trial    23,Arena 2,In cue,A,nc,BS9,S9_07,0.0 %,+ 00:03:35.035,215,0.3 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\10-12;171RDPHH\S1710003.MP4,2,"0,921451","0,767895","1,35997",0,"1,35997","0,226606",0,0,"43,5624",0,"1,35997",0
5 minutes,Trial    23,Arena 2,In blank,A,nc,BS9,S9_07,0.0 %,+ 00:03:35.035,215,0.3 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\10-12;171RDPHH\S1710003.MP4,2,"22,2088","0,0749505","29,6793","267,993",0,0,"298,393","49,7201","10,1984","1,11997","251,594","44,9589"
5 minutes,Trial    23,Arena 3,In cue,A,nc,BS7,S7_15,0.0 %,+ 00:03:35.035,215,0.6 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\10-12;171RDPHH\S1710003.MP4,2,"3,37881","3,51968","1,35997",0,"1,75996","0,293255",0,0,"65,981","0,479988","0,959976",0
5 minutes,Trial    23,Arena 3,In blank,A,nc,BS7,S7_15,0.0 %,+ 00:03:35.035,215,0.6 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\10-12;171RDPHH\S1710003.MP4,2,"15,8407","0,0535895","10,6397","284,793",0,0,"295,673","49,2669","10,4987","1,27997","288,633","5,67986"
5 minutes,Trial    23,Arena 4,In cue,A,spider dead,BQ1,Q1_09,0.0 %,+ 00:03:35.035,215,99.9 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\10-12;171RDPHH\S1710003.MP4,2,-,-,-,-,-,-,-,-,-,-,-,-
5 minutes,Trial    23,Arena 4,In blank,A,spider dead,BQ1,Q1_09,0.0 %,+ 00:03:35.035,215,99.9 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\10-12;171RDPHH\S1710003.MP4,2,-,-,-,-,-,-,-,-,-,-,-,-
5 minutes,Trial    23,Arena 5,In cue,A,spider on the walls sometimes,BS8,S8_06,0.0 %,+ 00:03:35.035,215,28.5 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\10-12;171RDPHH\S1710003.MP4,2,-,-,-,-,-,-,-,-,-,-,-,-
5 minutes,Trial    23,Arena 5,In blank,A,spider on the walls sometimes,BS8,S8_06,0.0 %,+ 00:03:35.035,215,28.5 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\10-12;171RDPHH\S1710003.MP4,2,"21,0857","0,141632","17,5996","132,957",0,0,"151,356","25,2199","10,8769","3,67991","101,997","44,8789"
5 minutes,Trial    23,Arena 6,In cue,A,nc,BS6,S6_15,0.0 %,+ 00:03:35.035,215,0.0 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\10-12;171RDPHH\S1710003.MP4,2,"16,3861","0,0546218","49,3588","250,554","300,072",50,0,0,"8,05538",0,"287,913","12,0797"
5 minutes,Trial    23,Arena 6,In blank,A,nc,BS6,S6_15,0.0 %,+ 00:03:35.035,215,0.0 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\10-12;171RDPHH\S1710003.MP4,2,-,-,-,-,-,-,-,-,-,-,-,-
5 minutes,Trial    24,Arena 1,In cue,B,nc,BS3,S3_06,0.0 %,+ 00:02:05.037,125,71.2 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\10-12;69RDPHH\S1690003.MP4,2,"6,21719","3,2382","2,15995",0,"2,23994","0,373234",0,0,"98,3284","2,07995","0,079998",0
5 minutes,Trial    24,Arena 1,In blank,B,nc,BS3,S3_06,0.0 %,+ 00:02:05.037,125,71.2 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\10-12;69RDPHH\S1690003.MP4,2,"10,087","0,0785126","17,5996","111,997",0,0,"130,717","21,7809","8,40505","0,719982","49,5988","79,278"
5 minutes,Trial    24,Arena 2,In cue,B,nc,BQ3,BQ3_09,0.0 %,+ 00:02:05.037,125,99.7 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\10-12;69RDPHH\S1690003.MP4,2,"1,74313","1,55641","1,35997",0,"1,43996","0,239936",0,0,"74,2025","0,79998","0,559986",0
5 minutes,Trial    24,Arena 2,In blank,B,nc,BQ3,BQ3_09,0.0 %,+ 00:02:05.037,125,99.7 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\10-12;69RDPHH\S1690003.MP4,2,-,-,-,-,-,-,-,-,-,-,-,-
5 minutes,Trial    24,Arena 3,In cue,B,nc,BS4,S4_07,0.0 %,+ 00:02:05.037,125,64.9 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\10-12;69RDPHH\S1690003.MP4,2,"14,9574","0,273352","17,7596","40,239","59,2785","9,87737",0,0,"15,891","3,27992","23,9194","30,7992"
5 minutes,Trial    24,Arena 3,In blank,B,nc,BS4,S4_07,0.0 %,+ 00:02:05.037,125,64.9 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\10-12;69RDPHH\S1690003.MP4,2,"14,4908","1,23224","14,4796","0,39999",0,0,"18,4795","3,07918","56,0729","3,11992","11,6797","0,079998"
5 minutes,Trial    24,Arena 4,In cue,B,nc,BM1,M1_06,0.0 %,+ 00:02:05.037,125,64.9 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\10-12;69RDPHH\S1690003.MP4,2,-,-,-,-,-,-,-,-,-,-,-,-
5 minutes,Trial    24,Arena 4,In blank,B,nc,BM1,M1_06,0.0 %,+ 00:02:05.037,125,64.9 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\10-12;69RDPHH\S1690003.MP4,2,-,-,-,-,-,-,-,-,-,-,-,-
5 minutes,Trial    24,Arena 5,In cue,B,nc,BL2,BL2_10,0.0 %,+ 00:02:05.037,125,34.1 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\10-12;69RDPHH\S1690003.MP4,2,"20,3169","0,232785","21,4395","67,0383","89,1978","14,8627",0,0,"14,4765","4,95988","30,7992","52,7187"
5 minutes,Trial    24,Arena 5,In blank,B,nc,BL2,BL2_10,0.0 %,+ 00:02:05.037,125,34.1 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\10-12;69RDPHH\S1690003.MP4,2,"26,5511","0,192293","25,5994","114,797",0,0,"141,036","23,5004","13,155","6,79983","66,5583","67,0383"
5 minutes,Trial    24,Arena 6,In cue,B,nc,BM2,BM2_06,0.0 %,+ 00:02:05.037,125,43.8 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\10-12;69RDPHH\S1690003.MP4,2,"18,7414","0,254922","23,7594","49,9188","73,7582","12,2901",0,0,"15,4784","3,8399","28,3193","41,519"
5 minutes,Trial    24,Arena 6,In blank,B,nc,BM2,BM2_06,0.0 %,+ 00:02:05.037,125,43.8 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\10-12;69RDPHH\S1690003.MP4,2,"21,9928","0,2017","16,6396","94,9576",0,0,"113,597","18,9283","11,6854","8,23979","33,6792","70,3182"
10 minutes,Trial    13,Arena 1,In cue,A,nc,BS3,S3_01,0.0 %,+ 00:02:37.036,157,79.3 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\7-9;170RDPHH\S1700001.MP4,2,"34,0266","0,275482","3,43991","120,717","124,397","20,7278",0,0,"6,30113","0,79998","67,1983","56,1586"
10 minutes,Trial    13,Arena 1,In blank,A,nc,BS3,S3_01,0.0 %,+ 00:02:37.036,157,79.3 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\7-9;170RDPHH\S1700001.MP4,2,"11,0542","17,2726","0,639984",0,0,0,"0,639984","0,106638","47,6552","0,239994","0,319992","0,079998"
10 minutes,Trial    13,Arena 2,In cue,A,nc,BS4,S4_01,0.0 %,+ 00:02:37.036,157,1.9 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\7-9;170RDPHH\S1700001.MP4,2,"15,9944","0,189332","12,2397","72,4782","84,7979","14,1296",0,0,"8,93327","0,39999","63,2784","21,0395"
10 minutes,Trial    13,Arena 2,In blank,A,nc,BS4,S4_01,0.0 %,+ 00:02:37.036,157,1.9 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\7-9;170RDPHH\S1700001.MP4,2,"48,9502","0,0973421","107,997","396,79",0,0,"505,907","84,2975","9,7991","0,639984","333,032","171,116"
10 minutes,Trial    13,Arena 3,In cue,A,spider dead,BQ1,Q1_01,0.0 %,+ 00:02:37.036,157,99.5 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\7-9;170RDPHH\S1700001.MP4,2,"1,25848","2,24733","0,559986","0,079998","0,719982","0,119968",0,0,"26,7514","0,079998","0,39999","0,159996"
10 minutes,Trial    13,Arena 3,In blank,A,spider dead,BQ1,Q1_01,0.0 %,+ 00:02:37.036,157,99.5 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\7-9;170RDPHH\S1700001.MP4,2,"25,4104","11,7644","2,39994","0,079998",0,0,"2,47994","0,413223","57,0477","1,35997","0,719982","0,39999"
10 minutes,Trial    13,Arena 4,In cue,A,nc,BM1,M1_01,0.0 %,+ 00:02:37.036,157,0.0 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\7-9;170RDPHH\S1700001.MP4,2,"40,1383","0,0668988","5,11987","594,865","600,065","99,9867",0,0,"5,85231","0,79998","364,871","234,314"
10 minutes,Trial    13,Arena 4,In blank,A,nc,BM1,M1_01,0.0 %,+ 00:02:37.036,157,0.0 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\7-9;170RDPHH\S1700001.MP4,2,"0,926976","11,5875","0,079998",0,0,0,"0,079998","0,0133298",100,"0,079998",0,0
10 minutes,Trial    13,Arena 5,In cue,A,nc,BQ3,BQ3_07,0.0 %,+ 00:02:37.036,157,0.2 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\7-9;170RDPHH\S1700001.MP4,2,"51,1884","0,128359","13,5997","385,99","399,83","66,6222",0,0,"8,70658","1,99995","330,712","66,8783"
10 minutes,Trial    13,Arena 5,In blank,A,nc,BQ3,BQ3_07,0.0 %,+ 00:02:37.036,157,0.2 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\7-9;170RDPHH\S1700001.MP4,2,"41,1183","0,205844","20,3195","179,436",0,0,"199,835","33,2978","9,80268","2,15995","155,276","42,3189"
10 minutes,Trial    13,Arena 6,In cue,A,spider dead,BM2,BM2_01,0.0 %,+ 00:02:37.036,157,99.5 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\7-9;170RDPHH\S1700001.MP4,2,"30,6121","12,7554","2,63993","0,239994","3,43991","0,57318",0,0,"38,8449","0,959976","1,35997","0,559986"
10 minutes,Trial    13,Arena 6,In blank,A,spider dead,BM2,BM2_01,0.0 %,+ 00:02:37.036,157,99.5 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\7-9;170RDPHH\S1700001.MP4,2,"2,69604","16,8507","0,159996",0,0,0,"0,159996","0,0266596","57,1429","0,079998","0,079998",0
10 minutes,Trial    14,Arena 1,In cue,B,nc,BS8,S8_01,0.0 %,+ 00:03:30.075,210,0.0 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\7-9;168RDPHH\S1680001.MP4,2,-,-,-,-,-,-,-,-,-,-,-,-
10 minutes,Trial    14,Arena 1,In blank,B,nc,BS8,S8_01,0.0 %,+ 00:03:30.075,210,0.0 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\7-9;168RDPHH\S1680001.MP4,2,"21,8227","0,0363672","7,59981","592,465",0,0,"600,145",100,"5,33006","2,87993","255,914","341,271"
10 minutes,Trial    14,Arena 2,In cue,B,spider dead,BS6,S6_01,0.0 %,+ 00:03:30.075,210,0.0 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\7-9;168RDPHH\S1680001.MP4,2,-,-,-,-,-,-,-,-,-,-,-,-
10 minutes,Trial    14,Arena 2,In blank,B,spider dead,BS6,S6_01,0.0 %,+ 00:03:30.075,210,0.0 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\7-9;168RDPHH\S1680001.MP4,2,"21,9849","0,0366376","3,67991","596,385",0,0,"600,145",100,"4,8829","0,39999","268,633","331,032"
10 minutes,Trial    14,Arena 3,In cue,B,spider on the walls sometimes,BL2,BL2_01,0.0 %,+ 00:03:30.075,210,67.0 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\7-9;168RDPHH\S1680001.MP4,2,"22,9041","0,396001","14,3196","46,9588","63,0384","10,5039",0,0,"17,6529","7,43981","14,8796","39,119"
10 minutes,Trial    14,Arena 3,In blank,B,spider on the walls sometimes,BL2,BL2_01,0.0 %,+ 00:03:30.075,210,67.0 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\7-9;168RDPHH\S1680001.MP4,2,"26,4933","0,193217","27,2793","112,317",0,0,"142,476","23,7403","12,5394","6,63983","61,2785","71,9982"
10 minutes,Trial    14,Arena 4,In cue,B,spider dead,BS11,BS11_01,0.0 %,+ 00:03:30.075,210,99.8 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\7-9;168RDPHH\S1680001.MP4,2,-,-,-,-,-,-,-,-,-,-,-,-
10 minutes,Trial    14,Arena 4,In blank,B,spider dead,BS11,BS11_01,0.0 %,+ 00:03:30.075,210,99.8 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\7-9;168RDPHH\S1680001.MP4,2,"14,6853","18,357","1,11997","0,079998",0,0,"1,27997","0,213276","49,9438","0,479988","0,39999","0,319992"
10 minutes,Trial    14,Arena 5,In cue,B,spider on the walls sometimes,BS7,S7_01,0.0 %,+ 00:03:30.075,210,72.0 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\7-9;168RDPHH\S1680001.MP4,2,"27,5414","1,3995","11,5997","9,27977","21,5995","3,59904",0,0,"39,4056","6,07985","8,23979","6,55984"
10 minutes,Trial    14,Arena 5,In blank,B,spider on the walls sometimes,BS7,S7_01,0.0 %,+ 00:03:30.075,210,72.0 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\7-9;168RDPHH\S1680001.MP4,2,"27,8786","0,189398","27,5193","121,597",0,0,"149,676","24,94","11,7705","6,23984","92,8777","49,9988"
10 minutes,Trial    14,Arena 6,In cue,B,nc,BS9,S9_01,0.0 %,+ 00:03:30.075,210,4.0 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\7-9;168RDPHH\S1680001.MP4,2,"34,4955","0,0811756","25,6794","399,43","425,109","70,8344",0,0,"6,59182","6,79983","154,236","264,073"
10 minutes,Trial    14,Arena 6,In blank,B,nc,BS9,S9_01,0.0 %,+ 00:03:30.075,210,4.0 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\7-9;168RDPHH\S1680001.MP4,2,"24,8906","0,165149","27,9993","124,077",0,0,"152,556","25,4199","10,9741","6,15985","32,9592","112,957"
10 minutes,Trial    15,Arena 1,In cue,A,nc,BL2,BL2_03,0.0 %,+ 00:05:10.072,310,0.0 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\7-9;170RDPHH\S1700002.MP4,2,-,-,-,-,-,-,-,-,-,-,-,-
10 minutes,Trial    15,Arena 1,In blank,A,nc,BL2,BL2_03,0.0 %,+ 00:05:10.072,310,0.0 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\7-9;170RDPHH\S1700002.MP4,2,"45,2483","0,0754056","39,119","560,946",0,0,"600,145",100,"7,3875","1,83995","413,43","184,795"
10 minutes,Trial    15,Arena 2,In cue,A,spider on the walls sometimes,BS4,S4_02,0.0 %,+ 00:05:10.072,310,51.9 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\7-9;170RDPHH\S1700002.MP4,2,"46,086","0,696601","27,3593","40,799","69,5183","11,5836",0,0,"27,217","11,5997","42,6389","13,9197"
10 minutes,Trial    15,Arena 2,In blank,A,spider on the walls sometimes,BS4,S4_02,0.0 %,+ 00:05:10.072,310,51.9 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\7-9;170RDPHH\S1700002.MP4,2,"66,0954","0,302199","78,798","145,756",0,0,"227,114","37,8432","17,5755","12,0797","163,516","48,9588"
10 minutes,Trial    15,Arena 3,In cue,A,spider on the walls sometimes,BM1,M1_02,0.0 %,+ 00:05:10.072,310,23.7 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\7-9;170RDPHH\S1700002.MP4,2,"31,7355","0,240864","48,3188","85,2779","135,757","22,6206",0,0,"16,8129","2,87993","113,357","17,5196"
10 minutes,Trial    15,Arena 3,In blank,A,spider on the walls sometimes,BM1,M1_02,0.0 %,+ 00:05:10.072,310,23.7 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\7-9;170RDPHH\S1700002.MP4,2,"44,7505","0,138911","41,839","286,393",0,0,"331,432","55,2253","10,0735","2,39994","228,954","97,2776"
10 minutes,Trial    15,Arena 4,In cue,A,nc,BS9,S9_02,0.0 %,+ 00:05:10.072,310,0.0 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\7-9;170RDPHH\S1700002.MP4,2,"0,206494","0,322655","0,639984",0,"0,719982","0,119968",0,0,"9,50618",0,"0,559986","0,079998"
10 minutes,Trial    15,Arena 4,In blank,A,nc,BS9,S9_02,0.0 %,+ 00:05:10.072,310,0.0 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\7-9;170RDPHH\S1700002.MP4,2,"53,4988","0,0892502","9,03977","590,385",0,0,"599,425","99,88","5,69602","1,83995","329,432","268,153"
10 minutes,Trial    15,Arena 5,In cue,A,nc,BS6,S6_03,0.0 %,+ 00:05:10.072,310,4.8 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\7-9;170RDPHH\S1700002.MP4,2,"25,9698","0,0525548","24,6394","472,068","499,188","83,1778",0,0,"6,1253","0,479988","232,794","263,513"
10 minutes,Trial    15,Arena 5,In blank,A,nc,BS6,S6_03,0.0 %,+ 00:05:10.072,310,4.8 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\7-9;170RDPHH\S1700002.MP4,2,"28,2246","0,372956","5,51986","70,4782",0,0,"76,0781","12,6766","5,16917","1,43996","4,47989","70,0782"
10 minutes,Trial    15,Arena 6,In cue,A,spider on the walls sometimes,BS8,S8_02,0.0 %,+ 00:05:10.072,310,0.1 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\7-9;170RDPHH\S1700002.MP4,2,"0,134742","1,68432","0,159996",0,"0,159996","0,0266596",0,0,"7,79221",0,"0,159996",0
10 minutes,Trial    15,Arena 6,In blank,A,spider on the walls sometimes,BS8,S8_02,0.0 %,+ 00:05:10.072,310,0.1 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\7-9;170RDPHH\S1700002.MP4,2,"37,0468","0,0618286","106,317","493,508",0,0,"599,985","99,9733","9,4246","0,559986","540,546","58,7185"
10 minutes,Trial    16,Arena 1,In cue,B,nc,BQ3,BQ3_02,0.0 %,+ 00:05:10.072,310,100.0 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\7-9;168RDPHH\S1680002.MP4,2,-,-,-,-,-,-,-,-,-,-,-,-
10 minutes,Trial    16,Arena 1,In blank,B,nc,BQ3,BQ3_02,0.0 %,+ 00:05:10.072,310,100.0 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\7-9;168RDPHH\S1680002.MP4,2,-,-,-,-,-,-,-,-,-,-,-,-
10 minutes,Trial    16,Arena 2,In cue,B,spider not detected sometimes,BS7,S7_02,0.0 %,+ 00:05:10.072,310,14.0 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\7-9;168RDPHH\S1680002.MP4,2,"19,128","0,243985","14,1596","65,3584","80,878","13,4764",0,0,"9,83436","0,559986","40,879","38,319"
10 minutes,Trial    16,Arena 2,In blank,B,spider not detected sometimes,BS7,S7_02,0.0 %,+ 00:05:10.072,310,14.0 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\7-9;168RDPHH\S1680002.MP4,2,"17,2078","0,0395119","15,9996","423,189",0,0,"441,589","73,5804","6,59769","0,319992","276,473","162,476"
10 minutes,Trial    16,Arena 3,In cue,B,spider not detected sometimes,BM2,BM2_02,0.0 %,+ 00:05:10.072,310,6.5 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\7-9;168RDPHH\S1680002.MP4,2,"5,36406","0,604076","5,75986","3,51991","9,59976","1,59957",0,0,"25,7256","1,43996","7,35982","0,559986"
10 minutes,Trial    16,Arena 3,In blank,B,spider not detected sometimes,BM2,BM2_02,0.0 %,+ 00:05:10.072,310,6.5 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\7-9;168RDPHH\S1680002.MP4,2,"27,4832","0,0499054","42,2389","511,267",0,0,"555,586","92,5753","7,79523","1,35997","393,27","158,956"
10 minutes,Trial    16,Arena 4,In cue,B,spider not detected sometimes,BS11,BS11_02,0.0 %,+ 00:05:10.072,310,52.6 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\7-9;168RDPHH\S1680002.MP4,2,"34,9097","0,310592","23,8394","90,3177","116,957","19,4881",0,0,"15,7445","8,55979","79,678","26,5593"
10 minutes,Trial    16,Arena 4,In blank,B,spider not detected sometimes,BS11,BS11_02,0.0 %,+ 00:05:10.072,310,52.6 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\7-9;168RDPHH\S1680002.MP4,2,"61,2632","0,360551","38,879","132,477",0,0,"171,996","28,659","15,6388","10,3997","124,477","36,4791"
10 minutes,Trial    16,Arena 5,In cue,B,spider not detected sometimes,BQ1,Q1_02,0.0 %,+ 00:05:10.072,310,84.6 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\7-9;168RDPHH\S1680002.MP4,2,"10,3716","0,366238","13,6797","15,2796","29,5193","4,91869",0,0,"20,9491","1,59996","20,5595","6,87983"
10 minutes,Trial    16,Arena 5,In blank,B,spider not detected sometimes,BQ1,Q1_02,0.0 %,+ 00:05:10.072,310,84.6 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\7-9;168RDPHH\S1680002.MP4,2,"10,7958","0,169323","14,6396","49,3588",0,0,"64,3184","10,7171","11,8692","1,35997","38,399","24,2394"
10 minutes,Trial    16,Arena 6,In cue,B,spider not detected sometimes,BS3,S3_02,0.0 %,+ 00:05:10.072,310,99.4 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\7-9;168RDPHH\S1680002.MP4,2,"32,0501","23,5669","1,83995",0,"1,99995","0,333244",0,0,"90,1666","1,67996","0,079998","0,079998"
10 minutes,Trial    16,Arena 6,In blank,B,spider not detected sometimes,BS3,S3_02,0.0 %,+ 00:05:10.072,310,99.4 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\7-9;168RDPHH\S1680002.MP4,2,"0,0960172","0,0857318","1,43996","1,03997",0,0,"3,8399","0,639829","8,32291",0,"1,83995","0,639984"
10 minutes,Trial    17,Arena 1,In cue,A,spider not available,BQ1,Q1_03,0.0 %,+ 00:05:15.032,315,99.9 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\7-9;170RDPHH\S1700003.MP4,2,"8,67155","27,0993","0,559986",0,"0,559986","0,0933085",0,0,"73,2816","0,39999","0,159996",0
10 minutes,Trial    17,Arena 1,In blank,A,spider not available,BQ1,Q1_03,0.0 %,+ 00:05:15.032,315,99.9 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\7-9;170RDPHH\S1700003.MP4,2,-,-,-,-,0,0,"0,079998","0,0133298",-,-,-,-
10 minutes,Trial    17,Arena 2,In cue,A,nc,BS8,S8_03,0.0 %,+ 00:05:15.032,315,87.8 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\7-9;170RDPHH\S1700003.MP4,2,"0,626435","7,83063","0,319992",0,"0,719982","0,119968",0,0,100,"0,319992",0,0
10 minutes,Trial    17,Arena 2,In blank,A,nc,BS8,S8_03,0.0 %,+ 00:05:15.032,315,87.8 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\7-9;170RDPHH\S1700003.MP4,2,"8,51093","0,117818","19,1995","54,1586",0,0,"73,8382","12,3034","10,9232",0,"68,3183","5,03987"
10 minutes,Trial    17,Arena 3,In cue,A,nc,BL2,BL2_05,0.0 %,+ 00:05:15.032,315,0.1 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\7-9;170RDPHH\S1700003.MP4,2,-,-,-,-,-,-,-,-,-,-,-,-
