,,,,Independent Variable Independent Variable camera,Independent Variable Independent Variable comments_video,Independent Variable Independent Variable family,Independent Variable Independent Variable id,Independent Variable Independent Variable Missed samples %,Independent Variable Independent Variable Recording after,Independent Variable Independent Variable start (s),Independent Variable Independent Variable Subject not found %,Independent Variable Independent Variable Video file,Independent Variable Independent Variable week,Distance moved center-point Total cm,Velocity center-point Mean cm/s,Movement Moving / center-point Cumulative Duration s,Movement Not Moving / center-point Cumulative Duration s,In zone cue / center-point Cumulative Duration s,In zone cue / center-point Cumulative Duration %,In zone blank / center-point Cumulative Duration s,In zone blank / center-point Cumulative Duration %,Mobility Body fill Mean %,Mobility state Highly mobile Cumulative Duration s,Mobility state Mobile Cumulative Duration s,Mobility state Immobile Cumulative Duration s
5 minutes,Trial     3,Arena 5,In cue,A,spider was on the walls sometimes,BS6,S6_03,0.0 %,+ 00:03:15.035,195,2.9 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\1-3;168RDPHH\S1680002.MP4,1,"6,64508","0,251714","10,6397","15,7596","26,3993","4,39883",0,0,"17,6691","0,39999","21,5995","4,39989"
5 minutes,Trial     3,Arena 5,In blank,A,spider was on the walls sometimes,BS6,S6_03,0.0 %,+ 00:03:15.035,195,2.9 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\1-3;168RDPHH\S1680002.MP4,1,"24,0518","0,0879109","35,7591","237,834",0,0,"273,673","45,6012","8,79328","2,39994","158,716","112,477"
5 minutes,Trial     3,Arena 6,In cue,A,spider was on the walls sometimes,BS8,S8_02,0.0 %,+ 00:03:15.035,195,17.2 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\1-3;168RDPHH\S1680002.MP4,1,"66,9438","0,351014","39,279","153,596","193,675","32,2714",0,0,"12,7973","5,03987","142,236","45,5989"
5 minutes,Trial     3,Arena 6,In blank,A,spider was on the walls sometimes,BS8,S8_02,0.0 %,+ 00:03:15.035,195,17.2 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\1-3;168RDPHH\S1680002.MP4,1,"6,58504","0,0825627","30,2392","49,5188",0,0,"79,838","13,3031","5,22272",0,"36,6391","43,1189"
5 minutes,Trial     4,Arena 1,In cue,B,nc,BQ3,BQ3_02,0.0 %,+ 00:02:42.076,162,41.3 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\1-3;166RDPHH\S1660002.MP4,1,-,-,-,-,-,-,-,-,-,-,-,-
5 minutes,Trial     4,Arena 1,In blank,B,nc,BQ3,BQ3_02,0.0 %,+ 00:02:42.076,162,41.3 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\1-3;166RDPHH\S1660002.MP4,1,"32,0915","0,112368","57,4386","230,394",0,0,"290,313","48,3738","9,43376","3,9999","148,876","135,277"
5 minutes,Trial     4,Arena 2,In cue,B,spider on the walls not seen sometimes,BS7,S7_02,0.0 %,+ 00:02:42.076,162,21.4 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\1-3;166RDPHH\S1660002.MP4,1,"77,7078","2,81557","16,3996","14,3196","31,2792","5,21194",0,0,"25,9615","4,1599","25,3594","1,19997"
5 minutes,Trial     4,Arena 2,In blank,B,spider on the walls not seen sometimes,BS7,S7_02,0.0 %,+ 00:02:42.076,162,21.4 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\1-3;166RDPHH\S1660002.MP4,1,"28,3122","0,107999","49,2788","215,435",0,0,"265,833","44,2949","7,92983","1,27997","111,997","151,436"
5 minutes,Trial     4,Arena 3,In cue,B,spider on the walls not seen,BM2,BM2_02,0.0 %,+ 00:02:42.076,162,60.5 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\1-3;166RDPHH\S1660002.MP4,1,"4,58877","0,288246","5,43986","12,4797","19,6795","3,27913",0,0,"18,2506","1,91995","14,2396","1,99995"
5 minutes,Trial     4,Arena 3,In blank,B,spider on the walls not seen,BM2,BM2_02,0.0 %,+ 00:02:42.076,162,60.5 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\1-3;166RDPHH\S1660002.MP4,1,"6,11035","0,0531533","21,4395","99,3575",0,0,"122,397","20,3946","10,3308","0,319992","114,797","6,47984"
